"Part";"Value";"Device";"Package";"Description";"";
"TP82";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP83";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP84";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP85";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP86";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP87";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP88";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP89";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP90";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP91";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP92";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP93";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP94";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP95";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP96";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP97";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP98";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP99";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP100";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP101";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
